type,latitude,longitude,alt
T,48.4180433333,-4.47327333333,144.1
T,48.4180433333,-4.47327333333,144.1
T,48.4180433333,-4.47327333333,144.1
T,48.4180433333,-4.47327333333,143.9
T,48.4180483333,-4.47327166667,143.8
T,48.4180566667,-4.47327166667,143.7
T,48.4180666667,-4.47327,143.6
T,48.4180766667,-4.47327,143.6
T,48.4180866667,-4.47327,143.4
T,48.4180966667,-4.47327,143.4
T,48.4181066667,-4.47326833333,143.4
T,48.4181166667,-4.47326666667,143.3
T,48.4181266667,-4.47326666667,143.2
T,48.4181383333,-4.47326666667,143.2
T,48.4181483333,-4.47326666667,143.1
T,48.4181583333,-4.47326833333,143.1
T,48.41817,-4.47327,143.1
T,48.4181783333,-4.47327,143.1
T,48.4181883333,-4.47327166667,143.0
T,48.4181966667,-4.47327333333,142.9
T,48.418205,-4.473275,142.7
T,48.418215,-4.47328,142.9
T,48.418225,-4.47328333333,143.1
T,48.418235,-4.47328333333,143.1
T,48.4182433333,-4.47328333333,143.0
T,48.41825,-4.473285,142.9
T,48.4182583333,-4.473285,142.8
T,48.4182666667,-4.47328666667,142.7
T,48.418275,-4.47329,142.5
T,48.4182833333,-4.47329166667,142.4
T,48.4182916667,-4.47329333333,142.3
T,48.4183016667,-4.47329333333,142.3
T,48.41831,-4.473295,142.2
T,48.41832,-4.47329666667,142.2
T,48.4183283333,-4.47329666667,142.3
T,48.4183366667,-4.47329666667,142.3
T,48.4183466667,-4.47329666667,142.2
T,48.418355,-4.47329833333,142.0
T,48.4183633333,-4.4733,141.9
T,48.4183733333,-4.47330333333,142.0
T,48.4183833333,-4.47330666667,142.2
T,48.4183916667,-4.47330666667,142.2
T,48.4184,-4.47330666667,142.1
T,48.4184083333,-4.473305,141.9
T,48.4184183333,-4.47330666667,141.8
T,48.4184266667,-4.47330666667,141.7
T,48.4184366667,-4.47330666667,141.7
T,48.4184466667,-4.47330833333,141.6
T,48.4184566667,-4.47330833333,141.6
T,48.4184666667,-4.47331,141.5
T,48.4184783333,-4.47331166667,141.5
